algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration,date
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,8,64,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,2,177,1,66,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,1,64,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,2,203,2,61,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,2,66,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,1,342,3,63,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,3,62,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,3,267,4,64,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,4,62,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,3,267,5,64,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,5,63,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,3,277,6,65,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,6,63,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,3,316,7,62,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,7,62,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,3,316,8,63,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,8,62,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,3,349,9,61,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,9,62,2015-12-10 14:23:10
